大類,次分類,目錄排序,穴組名稱,穴名,位置,針法,解析,圖片,理論與發揮,主治關鍵字,頁碼
總綱,,1,前身二針 A,內關,在前臂掌側，當曲澤與大陵的連線上，腕橫紋上2寸，掌長肌腱與橈側腕屈肌腱之間。（附圖22）,舒腕仰掌取穴，取雙側穴位。用毫針直刺或向上方斜刺1寸，快速捻轉1分鐘，使患者出現酸、麻、重、脹感，並囑患者深呼吸1分鐘，針刺時若能令針感向腋窩或胸部放射，療效更好。留針20~30分鐘，每5分鐘行針1次。,（1）內關穴為手厥陰心包經之絡穴，從內關穴上行“繫於心包，絡心繫”。內關穴又屬八脈交會穴之一，通於陰維脈，與公孫穴在胃、心、胸交會。 (2)《四總穴歌》中有“胸膺內關謀”之句，內關可治療整個胸部病證。且心包絡與胃臟腑別通，故內關治療胃病甚效。如此內關則從胸到胃皆能治療。,,此為雙絡穴及八脈交會穴組成的特效對針。內關可治療胃、心、胸病證，治療膝痛甚效；公孫為治療胃病要穴，也能治療眉骨、鼻骨、前頭痛，還能治療腹痛。兩穴合用就可治療眉骨、鼻骨、前頭、心、胸、胃、腹、膝蓋等處病證。可以說前身之病變皆能治療且甚效。,前身二針,44
總綱,,1,前身二針 A,公孫,在足內側緣，當第1蹠骨基底的前下方。（附圖10）,正坐或仰臥取穴，針尖向腳掌心進針5~8分，捻轉1分鐘，同時囑患者深呼吸，對於久病者可留針稍久，留針期間每10分鐘捻針1分鐘，並囑患者深呼吸0.5~1分鐘。,（1）公孫穴為脾經絡穴，脾經胃經相表裡，故公孫是治療胃病之要穴。又因為面部及前頭屬於陽明經，刺一絡可治兩經病，所以針公孫治療眉骨、鼻骨及前頭痛有效。 （2）公孫亦為八脈交會穴之一，通於衝脈，“衝為血海”，與內關在胃、心、胸交會。公孫穴為治療腹痛之效穴。,,此為雙絡穴及八脈交會穴組成的特效對針。內關可治療胃、心、胸病證，治療膝痛甚效；公孫為治療胃病要穴，也能治療眉骨、鼻骨、前頭痛，還能治療腹痛。兩穴合用就可治療眉骨、鼻骨、前頭、心、胸、胃、腹、膝蓋等處病證。可以說前身之病變皆能治療且甚效。,前身二針,44
總綱,,2,前身二針 B,三間,微握拳，在手食指本節（第2掌指關節）後，橈側凹陷處。（附圖2）,握拳取穴，直刺，從橈側向尺側刺入，針5分，貼骨進針效果更佳。針刺得氣後，令患者稍微左右前後活動身體，可立覺身體輕鬆。一般留針30分鐘，每隔10分鐘捻針1次，捻針時仍囑患者稍微左右前後活動身體0.5~1分鐘。,"（1）三間是手陽明大腸經的輸穴，輸主體重節痛，本穴為治痛證最常用的穴位之一。 (2) 三間能治療目病, 也善治前頭痛、面部痛、坐骨神經痛。 （3）據《靈樞·經脈》：“大腸手陽明之脈，起於大指次指之端……從缺盆上頸貫頰，入下齒中，還出挾口，交人中，左之右，右之左，上挾鼻孔。”人身前面為陽明經循行之處，本穴對於前身病變（陽明部位）皆能治之。",,此為手足同名經相通及“輸主體重節痛”組成的對針，主要治療前身經絡之病變。 手足同名經相對應的部位在全息學說上都處於相對應的位置，因此有同質的作用。手足同名經互相配對，一走上一走下，有上下交濟的作用。三間配陷谷，一為手陽明經輸穴，一為足陽明經輸穴，輸穴最常用於治療痛證，兩穴合用可治療人身前面大部位痛證，稱為“前身二針”。,前身二針,44
總綱,,2,前身二針 B,陷谷,在足背，當第2、第3蹠骨結合部前方凹陷處。（附圖9）,針尖向足心斜刺或直刺都可，針刺深度1寸。若一側痛，則針對側（即健側），若雙側痛，則雙側陷谷均針。針入得氣後，令患者稍微左右前後活動身體，可立覺身體輕鬆。一般留針30分鐘，每隔10分鐘捻針1次，捻針時仍囑患者稍微左右前後活動身體0.5~1分鐘。,"（1）本穴能治療腹瀉、腹脹、眼肌下垂、鼻炎、鼻塞。臨床上常用本穴治療太陽穴附近偏頭痛，效果較好。 (2) 本穴為胃經之輸（木）穴，輸主體重節痛，本穴是治痛證要穴。 (3)《靈樞·經脈》: “胃足陽明之脈, 起於鼻之交頦中, 旁納太陽之脈, 下循鼻外, 上入齒中, 還出挾口, 環唇, 下交承漿, 卻循頤後下廉, 出大迎……循喉嚨, 入缺盆, 下膈, 屬胃絡脾。其直者, 從缺盆, 下乳內廉, 下挾臍, 入氣街中。 其支者，起於胃口，下循腹裡，下至氣街中而合，以下髀關，抵伏兔，下膝臏中，下循脛外廉，下足跗，入中趾內間。其支者，下膝三寸而別，下入中趾外間。其支者，別跗上，入大趾間，出其端。”可見前身自頭面至胸腹至大小腿之前側皆為胃經循行所過之處。",,此為手足同名經相通及“輸主體重節痛”組成的對針，主要治療前身經絡之病變。 手足同名經相對應的部位在全息學說上都處於相對應的位置，因此有同質的作用。手足同名經互相配對，一走上一走下，有上下交濟的作用。三間配陷谷，一為手陽明經輸穴，一為足陽明經輸穴，輸穴最常用於治療痛證，兩穴合用可治療人身前面大部位痛證，稱為“前身二針”。,前身二針,44
總綱,,3,側身二針 A,中渚,在手背部，當環指本節（掌指關節）的後方，第4、第5掌骨間凹陷處。（附圖23）,握拳取穴。直刺，從背側面向掌側面刺入，深度針3~5分。,（1）中渚是手少陽三焦經的輸穴。根據“經脈所過，主治所及”，中渚穴可治療目、耳、喉、頭以及三焦經循行所過之處的疾病。 （2）根據“滎輸治外經”原則，中渚可治療風寒外邪侵襲少陽經所致的三焦經及少陽經循行部位的痛證。 （3）中渚為三焦經上的輸穴屬木，因本穴屬木應肝筋，故能疏通氣血、舒筋活絡，從而達到通則不痛之目的。,,此為手足同名經相通及“輸主體重節痛”組成的對穴。同名經不但脈氣相通，且在氣化上也有相同性質。如《素問·陰陽離合論篇》中說：“……三陽之離合也，太陽為開，陽明為闔，少陽為樞……三陰之離合也，太陰為開，厥陰為闔，少陰為樞。”其中三陽三陰並沒有手足之分。《傷寒論》中的六經病也是手足經同論，因此同名經穴可以相互治療彼此之疾病。人身側面大面積疼痛，可用手少陽輸穴中渚配足少陽輸穴足臨泣，一針在上，一針在下，有上下交濟的作用，稱為“側身二針A”。 筆者按：在足小趾四趾縫後有一大橫筋，筋上兩骨間是足臨泣，筋下是地五會。,側身二針,46
總綱,,3,側身二針 A,足臨泣,在足背外側，當第4、第5趾間，趾蹼緣後方赤白肉際處。（附圖30）,健側取穴。針入0.8~1寸，留針30分鐘，每隔10分鐘捻針1次。,（1）本穴為少陽經（膽經）之輸穴，膽經循行於人身側面。《靈樞·經脈》：“膽足少陽之脈，起於目銳眥，上抵頭角，下耳後，循頸行手少陽之前，至肩上，卻交出手少陽之後，入缺盆。其支者，從耳後入耳中，出走耳前，至目銳眥後。其支者，別銳眥下大迎，合手少陽抵於頤下，加頰車下頸，合缺盆以下胸中，貫膈，絡肝屬膽，循脅裡，出氣街，繞毛際，橫入髀厭中，其直者，從缺盆下腋，循胸，過季脅，下合髀厭中，以下循髀陽，出膝外廉，下外輔骨之前，直下抵絕骨之端，下出外踝之前，循足跗上，入小趾次趾之間。”所以針刺足臨泣治人身側面疼痛甚效。 （2）輸穴止痛效果甚好，本穴又為木經土穴，治療與胃有關、木土不和（肝脾不和）、情緒及壓力所致之痛證，尤其有效。 （3）本穴為八脈交會穴之一，通於帶脈，能疏通經絡，為治療血管性及神經性疼痛的常用穴。與外關會於目外眥、頰、頸、耳後、肩。本穴治療範圍甚廣。,,此為手足同名經相通及“輸主體重節痛”組成的對穴。同名經不但脈氣相通，且在氣化上也有相同性質。如《素問·陰陽離合論篇》中說：“……三陽之離合也，太陽為開，陽明為闔，少陽為樞……三陰之離合也，太陰為開，厥陰為闔，少陰為樞。”其中三陽三陰並沒有手足之分。《傷寒論》中的六經病也是手足經同論，因此同名經穴可以相互治療彼此之疾病。人身側面大面積疼痛，可用手少陽輸穴中渚配足少陽輸穴足臨泣，一針在上，一針在下，有上下交濟的作用，稱為“側身二針A”。 筆者按：在足小趾四趾縫後有一大橫筋，筋上兩骨間是足臨泣，筋下是地五會。,側身二針,46
總綱,,4,側身二針 B,支溝,在前臂背側，當陽池與肘尖的連線上，腕背橫紋上3寸，尺骨與橈骨之間。（附圖24）,取健側穴位。用毫針直刺1.5~2寸，得氣後施以提插捻轉手法，強刺激，留針30分鐘，每5~10分鐘運針1次。,（1）支溝為三焦經腧穴，由於三焦經循行於肋間與季肋，所以說支溝治療脅肋疼痛特效，治療落枕、急性腰扭傷亦甚效。 （2）支溝乃三焦經的經穴，故可疏通經氣、開竅、開鬱散滯、活絡散瘀，對於氣機執行失常，肝氣鬱結所致的三焦經經絡病變療效甚佳。,,此為手足同名經相通及特效穴組成的對針。筆者治療側身疼痛，基本上以手足少陽經穴為主，常取足少陽膽經或手少陽三焦經之穴位。陽陵泉與支溝均為治療側身痛之要穴，兩穴合用稱為“側身二針B”。,側身二針,46
總綱,,4,側身二針 B,陽陵泉,在小腿外側，當腓骨頭前下方凹陷處。（附圖29）,針患側，用毫針直刺 1.5~2 寸，得氣後施以瀉法（或強捻針），同時囑患者左右扭動身體 1 分鐘，留針半小時，每 10 分鐘捻針 1 次，仍囑患者左右扭動身體 1 分鐘。,"（1）本穴為筋之總會，所以筋病皆能治之，對於運動系統障礙導致的病變皆有療效，為治療半身不遂之要穴。 (2)《靈樞·九針十二原》說:“疾高而外者,取之陽之陵泉。”因此對於偏頭痛、三叉神經痛、上肢神經痛患者針刺本穴療效甚佳。對於頸肩各病亦可從遠處瀉絡治之,所謂上病下取,療效頗佳。 (3) 本穴為治療膝部病變之主穴，常配陰陵泉、足三里治療。 （4）陽陵泉為膽經合穴，由於“經絡所過，主治所及”，本穴自古以來就是治療肩痛、肋痛、髖痛、膝痛的效穴。“合主逆氣而瀉”，陰陵泉可調理臟腑，調節少陽經氣，治療少陽經循行所過之處的痛證甚效。",,此為手足同名經相通及特效穴組成的對針。筆者治療側身疼痛，基本上以手足少陽經穴為主，常取足少陽膽經或手少陽三焦經之穴位。陽陵泉與支溝均為治療側身痛之要穴，兩穴合用稱為“側身二針B”。,側身二針,46
總綱,,5,後身二針,後溪,在手掌尺側，微握拳，小指本節（第5掌指關節）後的遠側掌橫紋頭赤白肉際。（附圖12）,直刺，握拳，從外側向內側進針，針0.5~1寸。得氣後囑患者每隔數分鐘前後活動身體，以引針氣，針下後可立止疼痛，留針30分鐘，每間隔10分鐘捻針1次，捻針時前後活動身體。,"（1）後溪為手太陽小腸經之輸穴，小腸經穿過頸後兩側，經過後頭兩旁，並出肩解，繞肩胛，循行經過肩，環繞肩胛骨周圍，而手太陽經與足太陽經同名經相通，因此針刺本穴可以治療整個背部疼痛。 （2）本穴為八脈交會穴之一，通於督脈，督脈貫脊，入絡腦，還出別下項，夾脊抵腰中，任何“督脈為病，脊強反折”的問題都可以用後溪穴治療，包括頸部、背部、腰部、腿部病證。 (3) 後溪穴五行屬木, 具有舒筋活絡之功效, 針刺後溪能疏通督脈與小腸經的氣機, 緩解筋脈拘攣強急, 故在臨床可治療後頭、頸部、腰背、後腿疼痛。",,此為手足同名經相通及特效穴組成的對穴。手足同名經穴共同配對，能加強治療效果。筆者常以束骨配後溪治頭項強痛、背痛、腰腿痛、坐骨神經痛，效果甚好，稱為“後身二針”。,後身二針,48
總綱,,5,後身二針,束骨,在足外側，足小趾本節（第5蹠趾關節）的後方，赤白肉際處。（附圖17）,直刺1寸，針入後囑患者每隔幾分鐘前後活動身體，以引針氣，留針30分鐘，每隔10分鐘捻針1次，捻針時前後活動身體。,（1）束骨是足太陽膀胱經的輸穴，輸主體重節痛，故束骨穴善治本經所過之處的疼痛及屈伸不利的病證。 （2）由於膀胱經循行經過後頭及頸部，夾著脊柱，經別入脊柱，故本穴能治療頸、腰部病證。《靈樞·雜病》篇說：“項強不能俯仰者取足太陽。”臨床應用本穴治療項強不能前後運動者，確有卓效。 （3）足太陽膀胱經循行所至，主治所及，故本穴對膀胱經所過處之疼痛均有療效。 （4）此穴為膀胱經（水）上的木穴，補水潤木之作用強，可治療多種疾病。,,此為手足同名經相通及特效穴組成的對穴。手足同名經穴共同配對，能加強治療效果。筆者常以束骨配後溪治頭項強痛、背痛、腰腿痛、坐骨神經痛，效果甚好，稱為“後身二針”。,後身二針,48
